Наименование	Количество в упаковке	Единица измерения	Тип материала
Вата серый 1x1	7	м	Вата
Ткань белый 2x2	10	м	Ткань
Металлический стержень белый 0x2	9	кг	Стержень
Силикон серый 1x1	2	м	Силикон
Силикон белый 0x3	8 штук	кг	Силикон
Силикон белый 1x3	4	кг	Силикон
Ткань серый 0x3	10	м	Ткань
Резинка зеленый 1x0	8	кг	Резинка
Металлический стержень белый 2x2	9	м	Стержень
Ткань синий 3x3	5 штук	м	Ткань
Ткань белый 3x2	9 штук	м	Ткань
Вата розовый 1x0	3	м	Вата
Вата серый 3x2	5	кг	Вата
Ткань розовый 0x0	3	м	Ткань
Металлический стержень цветной 3x1	4	м	Стержень
Резинка синий 1x0	3	кг	Резинка
Металлический стержень цветной 1x2	8	м	Стержень
Ткань цветной 2x1	2	м	Ткань
Силикон белый 2x0	10	м	Силикон
Силикон зеленый 3x1	2	м	Силикон
Вата розовый 3x1	3	кг	Вата
Ткань синий 0x2	8	кг	Ткань
Вата серый 3x3	1	кг	Вата
Вата белый 2x0	8	кг	Вата
Ткань синий 2x0	4	м	Ткань
Металлический стержень зеленый 2x2	4	м	Стержень
Резинка зеленый 0x0	7 штук	м	Резинка
Ткань зеленый 2x2	4	м	Ткань
Металлический стержень синий 0x1	9	м	Стержень
Резинка белый 3x3	1	м	Резинка
Резинка зеленый 3x0	10	кг	Резинка
Ткань белый 1x3	8	м	Ткань
Силикон цветной 1x0	10	м	Силикон
Силикон зеленый 0x3	9	кг	Силикон
Вата серый 0x1	8	м	Вата
Металлический стержень белый 3x1	9	м	Стержень
Резинка синий 3x1	4	кг	Резинка
Металлический стержень синий 3x1	6	м	Стержень
Силикон белый 1x2	2	м	Силикон
Резинка цветной 1x1	8	м	Резинка
Силикон розовый 1x3	9 штук	м	Силикон
Резинка синий 3x2	5 штук	м	Резинка
Резинка розовый 1x0	1	м	Резинка
Резинка зеленый 0x3	8	кг	Резинка
Резинка цветной 0x1	8	м	Резинка
Вата розовый 3x3	10	м	Вата
Резинка цветной 0x2	10 штук	м	Резинка
Вата серый 3x0	8	кг	Вата
Резинка серый 3x3	4	м	Резинка
Резинка серый 0x0	7 штук	м	Резинка
